#"date","meal","food","weight"
190220,"br","Cheese, Mozzarella, fresh",25.0
190222,"b","Bread, white, average",36.0
190222,"b","Eggs, chicken, whole, raw",52.0
190222,"b","butter,clarified",5
190222,"d","Turkey, light meat, raw",150.0
190222,"d","Pepper, capsicum, red, raw",100
190222,"d","Yogurt, low fat, plain",50.0
190222,"d","Onions, raw",42.0
190222,"d","Tomatoes, standard, raw",50.0
190222,"l","Cabbage, average, raw",85.0
190222,"l","Potatoes, new and salad, flesh only, raw",140.0
190222,"l","butter,clarified",2.5
190222,"l","Milk, 1% fat, pasteurised",17.0
190222,"l","Bacon rashers, back, raw",33.0
190222,"br","Avocado, average, flesh only",1.0
190222,"br","mayoyo",15.0
190222,"br","Turkey, light meat, raw",100.0
190222,"br","almond bites",13.0
190222,"br","chocolate,schegetten,nut",5.5
190222,"br","Cheese, Feta",50.0
190223,"b","Bread, white, average",36.0
190223,"b","Eggs, chicken, whole, raw",52.0
190223,"b","Cheese, Feta",15.0
190223,"d","Turkey, light meat, raw",150.0
190223,"d","Pepper, capsicum, red, raw",111.7
190223,"d","Onions, raw",35.3
190223,"d","Tomatoes, standard, raw",37.0
190223,"b","Bacon rashers, back, raw",15.0
190223,"br","Avocado, average, flesh only",66.0
190223,"br","mayoyo",15.0
190223,"br","Turkey, light meat, raw",100.0
190223,"br","almond bites",26.0
190223,"br","chocolate,schegetten,nut",11.0
190223,"br","Cheese, Feta",50.0
190223,"l","crepes,choco",32.0
190224,"b","Bread, white, average",36.0
190224,"b","Eggs, chicken, whole, raw",52.0
190224,"b","butter,clarified",5
190224,"d","Turkey, light meat, raw",150.0
190224,"d","Pepper, capsicum, red, raw",111.7
190224,"d","mayoyo",15.0
190224,"d","Onions, raw",35.3
190224,"d","Tomatoes, standard, raw",37.0
190224,"l","Cabbage, average, raw",75.0
190224,"l","Potatoes, new and salad, flesh only, raw",150.0
190224,"l","butter,clarified",2.5
190224,"l","Milk, 1% fat, pasteurised",17.75
190224,"l","Bacon rashers, back, raw",66.0
190224,"l","mayoyo",15.0
190224,"br","Avocado, average, flesh only",50.0
190224,"br","mayoyo",15.0
190224,"br","Turkey, light meat, raw",150.0
190224,"br","almond bites",13.0
190224,"br","chocolate,schegetten,nut",11.0
190224,"br","Cheese, Feta",70.0
190225,"b","Bread, white, average",36.0
190225,"b","Eggs, chicken, whole, raw",52.0
190225,"b","butter,clarified",5
190225,"d","Turkey, light meat, raw",150.0
190225,"d","Pepper, capsicum, red, raw",111.7
190225,"d","mayoyo",15.0
190225,"d","Onions, raw",35.3
190225,"d","Tomatoes, standard, raw",37.0
190225,"l","Cabbage, average, raw",75.0
190225,"l","Potatoes, new and salad, flesh only, raw",150.0
190225,"l","butter,clarified",2.5
190225,"l","Milk, 1% fat, pasteurised",17.75
190225,"l","Tuna, canned in sunflower oil, drained",52
190225,"l","mayoyo",15.0
190225,"br","Avocado, average, flesh only",76.0
190225,"br","mayoyo",15.0
190225,"br","Turkey, light meat, raw",150.0
190225,"br","chocolate,schegetten,nut",11.0
190225,"br","Cheese, Feta",50.0
190225,"br","crepes,choco",32.0
190303,"b","Bread, white, average",36.0
190303,"b","Eggs, chicken, whole, raw",52.0
190303,"b","butter,clarified",5
190303,"br","chocolate,schegetten,nut",33.0
190303,"d","Potatoes, new and salad, flesh only, raw",150.0
190303,"d","Tomatoes, standard, raw",50.0
190303,"d","Tuna, canned in sunflower oil, drained",52
190303,"d","Cucumber, raw, flesh and skin",200.0
190303,"l","Cabbage, average, raw",60.0
190303,"l","Beef, mince, raw",150.0
190303,"l","Onions, raw",11.3
190303,"br","Avocado, average, flesh only",76.0
190303,"br","mayoyo",15.0
190303,"br","Chicken, light meat, raw",150.0
190305,"b","Bread, white, average",36.0
190305,"b","Eggs, chicken, whole, raw",52.0
190305,"b","butter,clarified",5
190305,"br","chocolate,schegetten,nut",16.0
190305,"d","shirataki,noodles",95.0
190305,"d","Vinegar, rice",2.0
190305,"d","Soy sauce, light and dark varieties",5.0
190305,"d","Tomatoes, standard, raw",80.0
190305,"d","Tuna, canned in sunflower oil, drained",52.0
190305,"d","Mushrooms, white, raw",160
190305,"l","Cabbage, average, raw",60.0
190305,"l","Beef, mince, raw",150.0
190305,"l","Onions, raw",11.3
190305,"br","Avocado, average, flesh only",76.0
190305,"br","mayoyo",15.0
190305,"br","Chicken, light meat, raw",150.0
190305,"br","mochi",35.0
190306,"b","Bread, white, average",36.0
190306,"b","Eggs, chicken, whole, raw",52.0
190306,"b","butter,clarified",5
190306,"br","chocolate,schegetten,nut",16.0
190306,"d","shirataki,noodles",95.0
190306,"d","Vinegar, rice",5.0
190306,"d","Soy sauce, light and dark varieties",6.0
190306,"d","Tomatoes, standard, raw",80.0
190306,"d","Tuna, canned in sunflower oil, drained",52.0
190306,"d","Cucumber, raw, flesh and skin",120.0
190306,"l","Cabbage, average, raw",60.0
190306,"l","Beef, mince, raw",150.0
190306,"l","Onions, raw",11.3
190306,"br","Avocado, average, flesh only",76.0
190306,"br","mayoyo",15.0
190306,"br","Chicken, light meat, raw",150.0
190306,"br","mochi",35.0
190308,"b","Bread, white, average",36.0
190308,"b","Eggs, chicken, whole, raw",52.0
190308,"b","butter,clarified",5
190308,"d","Beef, braising steak, raw, lean",150.0
190308,"d","Aubergine, raw",233.0
190308,"d","Mushrooms, white, raw",166.7
190308,"d","Oil, sunflower",12.0
190308,"d","Onions, raw",10.0
190308,"l","Tomatoes, standard, raw",88.0
190308,"l","Cucumber, raw, flesh and skin",111.0
190308,"l","Potatoes, new and salad, flesh only, raw",150.0
190308,"l","Tuna, canned in sunflower oil, drained",52
190308,"br","Avocado, average, flesh only",84.0
190308,"br","mayoyo",15.0
190308,"br","Turkey, light meat, raw",100.0
190308,"br","chocolate,schegetten,nut",11.0
190308,"br","Melon, Galia, flesh only",125.0
190309,"b","Bread, white, average",36.0
190309,"b","Eggs, chicken, whole, raw",52.0
190309,"b","butter,clarified",5
190309,"d","Beef, braising steak, raw, lean",150.0
190309,"d","Aubergine, raw",233.0
190309,"d","Mushrooms, white, raw",166.7
190309,"d","Oil, sunflower",12.0
190309,"d","Onions, raw",10.0
190309,"l","Tomatoes, standard, raw",76.0
190309,"l","Cucumber, raw, flesh and skin",100.0
190309,"l","Potatoes, new and salad, flesh only, raw",150.0
190309,"l","Tuna, canned in sunflower oil, drained",52
190309,"br","Avocado, average, flesh only",74.0
190309,"br","mayoyo",30.0
190309,"br","Turkey, light meat, raw",100.0
190309,"br","chocolate,schegetten,nut",11.0
190310,"b","Bread, white, average",36.0
190310,"b","Eggs, chicken, whole, raw",52.0
190310,"b","butter,clarified",5
190310,"d","Beef, braising steak, raw, lean",150.0
190310,"d","Aubergine, raw",233.0
190310,"d","Mushrooms, white, raw",166.7
190310,"d","Oil, sunflower",12.0
190310,"d","Onions, raw",10.0
190310,"l","Tomatoes, standard, raw",76.0
190310,"l","Potatoes, new and salad, flesh only, raw",150.0
190310,"l","Tuna, canned in sunflower oil, drained",100.0
190310,"br","Avocado, average, flesh only",46.0
190310,"br","mayoyo",15.0
190310,"br","Turkey, light meat, raw",100.0
190310,"br","chocolate,schegetten,nut",22.0
190312,"b","Bread, white, average",36.0
190312,"b","Eggs, chicken, whole, raw",52.0
190312,"b","butter,clarified",5
190312,"d","Turkey, light meat, raw",100.0
190312,"d","Coconut milk, retail",50.0
190312,"d","Pepper, capsicum, red, raw",50.0
190312,"d","Onions, raw",27.0
190312,"l","Potatoes, new and salad, flesh only, raw",127.0
190312,"l","butter,clarified",2.8
190312,"l","Cream, dairy, extra thick (24% fat)",25.0
190312,"l","Cheese, Mozzarella, fresh",62.0
190312,"l","Tomatoes, standard, raw",76.0
190312,"br","Avocado, average, flesh only",50.0
190312,"br","mayoyo",15.0
190312,"br","Turkey, light meat, raw",100.0
190312,"br","chocolate,nut,dark",11.0
190312,"br","Ham,parmacotto",20.0
190312,"br","Bread, white, average",15.0
190312,"br","Jam, fruit with edible seeds",8.0
190313,"b","Bread, white, average",36.0
190313,"b","Eggs, chicken, whole, raw",52.0
190313,"b","butter,clarified",5
190313,"d","Turkey, light meat, raw",100.0
190313,"d","Coconut milk, retail",50.0
190313,"d","Pepper, capsicum, red, raw",50.0
190313,"d","Onions, raw",27.0
190313,"l","Potatoes, new and salad, flesh only, raw",127.0
190313,"l","butter,clarified",2.8
190313,"l","Cream, dairy, extra thick (24% fat)",25.0
190313,"l","Cheese, Mozzarella, fresh",62.0
190313,"l","Tomatoes, standard, raw",76.0
190313,"br","Avocado, average, flesh only",39.0
190313,"br","mayoyo",15.0
190313,"br","Frankfuter,mixed",100.0
190313,"br","chocolate,nut,dark",8.0
190313,"br","Ham,parmacotto",20.0
190313,"br","Bread, white, average",15.0
190313,"br","Jam, fruit with edible seeds",8.0
190315,"b","Bread, white, average",38.0
190315,"b","Eggs, chicken, whole, raw",50.0
190315,"b","butter,clarified",5
190315,"d","Turkey, light meat, raw",125.0
190315,"d","Coconut milk, retail",50.0
190315,"d","Pepper, capsicum, red, raw",50.0
190315,"d","Onions, raw",27.0
190315,"l","Potatoes, new and salad, flesh only, raw",80.0
190315,"l","Spring onions, bulbs and tops, raw",10.0
190315,"l","Cheese, cottage, plain",60.0
190315,"l","Tomatoes, standard, raw",76.0
190315,"br","mayoyo",15.0
190315,"br","Frankfuter,mixed",100.0
190315,"br","chocolate,nut,dark",4.0
190315,"br","Cake, sponge, homemade",35.0
190315,"br","Cheese, Gouda",28.0
190316,"b","Bread, white, average",36.0
190316,"b","Eggs, chicken, whole, raw",50.0
190316,"b","butter,clarified",4.0
190316,"d","Turkey, light meat, raw",125.0
190316,"d","Coconut milk, retail",50.0
190316,"d","Pepper, capsicum, red, raw",50.0
190316,"d","Onions, raw",27.0
190316,"l","Potatoes, new and salad, flesh only, raw",80.0
190316,"l","Spring onions, bulbs and tops, raw",12.0
190316,"l","Turkey, meat, average, raw",87.0
190316,"l","Tomatoes, standard, raw",95.0
190316,"br","mayoyo",30.0
190316,"br","Turkey, light meat, raw",125.0
190316,"br","chocolate,nut,dark",4.0
190316,"br","Cake, sponge, homemade",35.0
190316,"br","Cheese, Gouda",28.0
190318,"b","Bread, white, average",36.0
190318,"b","Eggs, chicken, whole, raw",50.0
190318,"b","butter,clarified",4.0
190318,"d","Turkey, light meat, raw",150.0
190318,"br","Cheese, Gouda",28.0
190318,"d","Artichoke, globe, boiled, weighed as served",110.0
190318,"d","mayoyo",30.0
190318,"l","Cheesecake",110.0
190318,"br","Cheesecake",98.0
190318,"br","Breakfast cereal, puffed wheat, honey coated, fortified",33.0
190319,"b","Bread, white, average",36.0
190319,"b","Eggs, chicken, whole, raw",52.0
190319,"b","butter,clarified",5
190319,"l","Lentils, green and brown, whole, dried, raw",40.0
190319,"l","Cabbage, average, raw",75.0
190319,"l","Tomatoes, standard, raw",100.0
190319,"l","Ham",85.0
190319,"d","Turkey, light meat, raw",150.0
190319,"d","Artichoke, globe, boiled, weighed as served",110.0
190319,"d","mayoyo",45.0
190319,"br","Avocado, average, flesh only",75.0
190319,"br","mayoyo",30.0
190319,"br","Turkey, light meat, raw",130.0
190319,"br","Spinach, frozen, boiled in unsalted water",45.0
190319,"br","Cheesecake",150.0
190320,"b","Bread, white, average",40.0
190320,"b","Eggs, chicken, whole, raw",52.0
190320,"b","butter,clarified",4
190320,"l","Lentils, green and brown, whole, dried, raw",40.0
190320,"l","Cabbage, average, raw",75.0
190320,"l","Tomatoes, standard, raw",100.0
190320,"l","Ham",85.0
190320,"d","Turkey, light meat, raw",150.0
190320,"d","Artichoke, globe, boiled, weighed as served",186.0
190320,"d","mayoyo",45.0
190320,"br","Avocado, average, flesh only",35.0
190320,"br","mayoyo",40.0
190320,"br","Turkey, light meat, raw",130.0
190320,"br","Spinach, frozen, boiled in unsalted water",45.0
190320,"br","Cheesecake",95.0
190320,"br","chocolate,nut,dark",4.0
190320,"br","Bread, white, average",10.0
190320,"br","Jam, fruit with edible seeds",5.0
190323,"b","Bread, white, average",36.0
190323,"b","Eggs, chicken, whole, raw",52.0
190323,"b","butter,clarified",4
190323,"l","Potatoes, new and salad, flesh only, raw",120.0
190323,"l","Spring onions, bulbs and tops, raw",28.0
190323,"l","Cheese, cottage, plain",200.0
190323,"br","Cheesecake",112.0
190323,"br","Avocado, average, flesh only",57.0
190323,"br","mayoyo",15.0
190323,"br","Beef, braising steak, raw, lean",40.0
190323,"d","Beef, braising steak, raw, lean",150.0
190323,"d","mayoyo",30.0
